Dr_in,Air_gap,Lamda,Bridge,Hs0,Hs1,Hs2,Bs0,Bs1,Bs2,O1,O2,B1,rib,hrib,Mt,Mw,magDmin,thet_deg,generation,score,efficiency,torque_ripple,power_density,cost
85.0,0.8,1.0,1.1,2.0,1.1,22.0,2.0,5.0,14.0,6.0,7.0,4.2,3.0,2.0,5.6,16.0,5.0,38.0,6,68.09849277871675,94.52060431013265,26.54764879452474,0.34492691413873866,140.77858188159877
85.0,1.0,0.8,1.4,1.8,1.0,19.0,3.0,6.5,14.0,4.0,7.0,3.2,3.0,4.0,5.6,10.0,10.0,38.0,6,65.79306472810443,94.10463830779793,28.437036992389963,0.3422998373819792,137.05951798356338
85.0,1.2,1.0,1.3,1.7,1.0,21.0,1.5,9.0,7.0,5.0,2.0,3.2,11.0,6.0,5.0,14.0,2.0,2.0,6,66.63780185010444,94.76377888316546,28.23854486526061,0.3152390002087473,135.1550037143564
70.0,0.8,1.0,1.1,1.6,1.1,22.0,2.0,6.5,14.0,3.0,7.0,3.7,3.0,2.0,5.6,10.0,6.0,38.0,6,66.1691696664432,93.79664048579961,27.749555429271,0.3360120300091335,137.76421526994108
90.0,1.2,0.8,1.4,1.8,1.0,18.0,1.5,9.0,7.0,8.0,3.5,3.7,11.0,6.0,5.0,18.0,3.0,1.0,6,67.15421809004606,94.9495169183061,27.9086322695861,0.31804389127530475,137.06551293479367
60.0,0.8,0.8,1.1,1.4,1.2,19.0,3.0,6.5,14.0,3.0,3.5,3.7,2.0,3.0,5.6,12.0,4.0,38.0,6,61.978191483981746,92.8763256656977,31.015719317525836,0.3248323876607052,134.49317406144033
85.0,1.1,0.8,1.3,1.0,1.0,19.0,2.5,4.5,8.0,13.0,3.5,3.2,3.0,4.0,4.4,12.0,10.0,45.0,7,66.84410170940171,94.99555555555555,28.275,0.32769230769230767,120.9
85.0,1.2,1.0,1.3,1.7,1.0,21.0,1.5,9.0,7.0,8.0,2.5,3.7,11.0,6.0,4.6,18.0,2.0,2.0,7,66.85548202508791,94.89885780564983,28.1550581142074,0.31324863686106325,134.8259543551556
85.0,1.3,0.8,1.1,2.0,1.0,19.0,3.0,6.5,14.0,3.0,3.5,3.2,3.0,4.0,5.6,10.0,10.0,38.0,7,64.14844487201381,93.78736095659485,29.763328659716745,0.33949534729298414,136.00529553236836
85.0,0.8,1.0,1.1,2.0,1.1,22.0,2.0,5.0,14.0,6.0,7.0,4.2,3.0,2.0,5.6,16.0,5.0,38.0,7,69.25421083486407,94.8287462144066,25.701307132057813,0.34738122433373797,140.7565789547511
90.0,1.2,0.8,1.4,1.8,1.0,18.0,1.5,9.0,7.0,8.0,3.5,3.7,11.0,6.0,5.0,18.0,3.0,1.0,7,67.5820666658588,95.05231884784706,27.584215234101993,0.3197762171028348,137.77516931305144
90.0,1.1,1.0,1.3,1.0,1.1,22.0,3.5,4.5,7.0,13.0,7.0,3.7,3.0,3.5,4.6,16.0,5.0,45.0,7,66.14733383636921,94.758306055108,28.73525600506712,0.33380964875070734,127.86311414101097
85.0,0.6,0.8,1.1,2.0,1.2,19.0,2.0,5.0,11.0,3.0,7.0,3.2,3.0,4.0,5.6,16.0,10.0,38.0,7,67.85568815745206,94.47861649273474,26.749012881443612,0.34459451242252614,138.63813015103327
70.0,0.7,0.8,1.1,1.0,1.0,19.0,2.0,6.5,8.0,5.0,3.5,3.2,3.0,4.0,5.6,10.0,6.0,38.0,7,66.60083375537998,94.45545840668053,27.977367414031992,0.3299993958421129,126.77080556889925
85.0,0.6,0.8,1.1,1.9,1.1,19.0,3.0,6.5,14.0,3.0,3.5,4.7,3.0,2.0,5.6,10.0,8.0,38.0,7,67.10906363920857,94.26926160257061,27.285796953447544,0.3420412910698577,136.2649663482338
90.0,0.8,1.0,1.3,1.0,1.1,22.0,3.5,5.5,7.0,3.0,7.0,3.7,3.0,3.5,5.6,16.0,6.0,38.0,7,67.52135594041344,94.57404817474719,27.178308656274414,0.3422314104058106,136.49784978674404
90.0,1.2,1.0,1.3,1.7,1.0,20.0,1.5,9.0,7.0,8.0,2.0,4.2,11.0,6.0,5.0,16.0,2.0,1.0,7,67.09633568801321,94.92728026075801,27.943891847647212,0.3164870953357726,135.88881829642813
85.0,1.0,0.8,1.4,1.8,1.0,19.0,3.0,6.5,14.0,4.0,7.0,3.2,3.0,4.0,5.6,10.0,10.0,38.0,7,66.34099463842323,94.27725069272563,28.062666634520774,0.3435297290688712,136.06285294816564
85.0,0.8,1.0,1.1,2.0,1.1,22.0,2.0,5.0,14.0,6.0,7.0,4.2,3.0,2.0,5.6,16.0,5.0,38.0,8,69.99717244238737,95.02683743858273,25.15723034904336,0.3489589951733804,140.74243421606332
90.0,1.2,0.8,1.4,1.8,1.0,18.0,1.5,9.0,7.0,8.0,3.5,3.7,11.0,6.0,5.0,18.0,3.0,1.0,8,67.85711217888128,95.11840580255196,27.375661425576496,0.3208898551348184,138.23137698478857
90.0,1.1,1.0,1.3,1.0,1.1,22.0,3.5,4.5,7.0,13.0,7.0,3.7,3.0,3.5,4.6,16.0,5.0,45.0,8,66.1194448972151,94.7475873259227,28.75235000527825,0.33364787129480733,127.84907723021976
85.0,0.6,0.8,1.1,2.0,1.2,19.0,2.0,5.0,11.0,3.0,7.0,3.2,3.0,4.0,5.6,16.0,10.0,38.0,8,69.57378043432834,94.88924014732882,25.443009661082712,0.3478689612399716,139.15359761327494
70.0,0.7,0.8,1.1,1.0,1.0,19.0,2.0,6.5,8.0,5.0,3.5,3.2,3.0,4.0,5.6,10.0,6.0,38.0,8,67.1932396327743,94.43437158278817,27.364275560523996,0.3319226238046616,128.45310417667443
85.0,0.6,0.8,1.1,1.9,1.1,19.0,3.0,6.5,14.0,3.0,3.5,4.7,3.0,2.0,5.6,10.0,8.0,38.0,8,68.61403704564574,94.63222397970573,26.145597715085657,0.3452040452254702,135.57372476117536
90.0,0.8,1.0,1.3,1.0,1.1,22.0,3.5,5.5,7.0,3.0,7.0,3.7,3.0,3.5,5.6,16.0,6.0,38.0,8,68.4106562715494,94.81081390883817,26.527481492205812,0.3463466347274349,137.548387340058
90.0,1.2,1.0,1.3,1.7,1.0,20.0,1.5,9.0,7.0,8.0,2.0,4.2,11.0,6.0,5.0,16.0,2.0,1.0,8,67.52413894549707,95.02462686223517,27.61416888573541,0.31817301380952173,136.21661372232109
85.0,1.0,0.8,1.4,1.8,1.0,19.0,3.0,6.5,14.0,4.0,7.0,3.2,3.0,4.0,5.6,10.0,10.0,38.0,8,66.69323529505675,94.388215797322,27.821999975890577,0.3443203737247303,135.42213971112423
90.0,1.1,1.0,1.3,1.0,1.1,22.0,3.5,4.5,7.0,13.0,7.0,3.7,3.0,3.5,4.6,16.0,5.0,45.0,8,66.1194448972151,94.7475873259227,28.75235000527825,0.33364787129480733,127.84907723021976
85.0,1.1,0.8,1.5,1.0,1.0,19.0,1.5,5.0,7.0,13.0,2.5,3.2,3.0,6.0,4.4,12.0,2.0,45.0,8,67.18160170940169,95.09555555555553,28.037499999999998,0.32769230769230767,120.9
85.0,0.6,1.0,1.1,1.0,1.1,22.0,3.5,4.5,7.0,6.0,7.0,4.7,3.0,3.5,5.6,16.0,5.0,38.0,8,67.51186439962048,94.68486447906076,27.298872385489513,0.341318436070621,134.36073595824402
90.0,1.2,0.8,1.4,1.8,1.0,18.0,1.5,9.0,7.0,8.0,3.5,3.7,11.0,6.0,5.0,18.0,3.0,1.0,9,67.85711217888128,95.11840580255196,27.375661425576496,0.3208898551348184,138.23137698478857
90.0,1.1,1.0,1.3,1.0,1.1,22.0,3.5,4.5,7.0,13.0,7.0,3.7,3.0,3.5,4.6,16.0,5.0,45.0,9,66.1194448972151,94.7475873259227,28.75235000527825,0.33364787129480733,127.84907723021976
85.0,0.6,0.8,1.1,2.0,1.2,19.0,2.0,5.0,11.0,3.0,7.0,3.2,3.0,4.0,5.6,16.0,10.0,38.0,9,70.86234964198556,95.19720788827439,24.463507245812036,0.3503247978530556,139.5401982099562
85.0,0.6,0.8,1.1,1.9,1.1,19.0,3.0,6.5,14.0,3.0,3.5,4.7,3.0,2.0,5.6,10.0,8.0,38.0,9,68.61403704564574,94.63222397970573,26.145597715085657,0.3452040452254702,135.57372476117536
90.0,0.8,1.0,1.3,1.0,1.1,22.0,3.5,5.5,7.0,3.0,7.0,3.7,3.0,3.5,5.6,16.0,6.0,38.0,9,68.4106562715494,94.81081390883817,26.527481492205812,0.3463466347274349,137.548387340058
90.0,1.1,1.0,1.3,1.0,1.1,22.0,3.5,4.5,7.0,13.0,7.0,3.7,3.0,3.5,4.6,16.0,5.0,45.0,9,66.1194448972151,94.7475873259227,28.75235000527825,0.33364787129480733,127.84907723021976
85.0,1.1,0.8,1.5,1.0,1.0,19.0,1.5,5.0,7.0,13.0,2.5,3.2,3.0,6.0,4.4,12.0,2.0,45.0,9,67.4347267094017,95.17055555555555,27.859375,0.32769230769230767,120.9
85.0,0.6,1.0,1.1,1.0,1.1,22.0,3.5,4.5,7.0,6.0,7.0,4.7,3.0,3.5,5.6,16.0,5.0,38.0,9,68.71591261595468,94.89392613707335,26.305404289117135,0.3454119039760427,135.945551968683
